iter	Passed	Remaining
336	15110	7308
337	15155	7263
338	15203	7220
339	15257	7180
340	15324	7145
341	15372	7101
342	15420	7058
343	15464	7012
344	15508	6967
345	15553	6922
346	15597	6877
347	15655	6838
348	15700	6793
349	15747	6748
350	15801	6707
351	15846	6662
352	15892	6618
353	15937	6573
354	15982	6528
355	16026	6482
356	16072	6437
357	16118	6393
358	16164	6348
359	16209	6303
360	16257	6259
361	16297	6212
362	16341	6167
363	16388	6123
364	16434	6078
365	16481	6034
366	16525	5988
367	16569	5943
368	16615	5898
369	16660	5853
370	16703	5807
371	16748	5762
372	16792	5717
373	16835	5671
374	16878	5626
375	16925	5581
376	16968	5536
377	17014	5491
378	17060	5446
379	17103	5401
380	17148	5356
381	17194	5311
382	17240	5266
383	17286	5221
384	17331	5176
385	17381	5133
386	17423	5087
387	17468	5042
388	17512	4997
389	17558	4952
390	17604	4907
391	17647	4862
392	17692	4817
393	17737	4771
394	17782	4727
395	17830	4682
396	17897	4643
397	17940	4597
398	17984	4552
399	18031	4507
400	18073	4461
401	18119	4417
402	18163	4371
403	18208	4326
404	18252	4281
405	18296	4236
406	18343	4191
407	18388	4146
408	18434	4101
409	18480	4056
410	18525	4011
411	18569	3966
412	18615	3921
413	18661	3876
414	18707	3831
415	18753	3786
416	18802	3742
417	18850	3698
418	18898	3653
419	18946	3608
420	18994	3564
421	19042	3519
422	19089	3474
423	19137	3430
424	19185	3385
425	19246	3343
426	19293	3298
427	19342	3253
428	19389	3209
429	19437	3164
430	19483	3119
431	19531	3074
432	19579	3029
433	19624	2984
434	19671	2939
435	19716	2894
436	19761	2848
437	19804	2803
438	19848	2757
439	19892	2712
440	19936	2667
441	19973	2620
442	20018	2575
443	20082	2532
444	20130	2488
445	20176	2442
446	20224	2398
447	20272	2353
448	20316	2307
449	20369	2263
450	20430	2219
451	20479	2174
452	20528	2129
453	20575	2084
454	20619	2039
455	20663	1993
456	20707	1948
457	20753	1903
458	20797	1857
459	20845	1812
460	20886	1767
461	20931	1721
462	20973	1676
463	21017	1630
464	21064	1585
465	21111	1540
466	21157	1495
467	21204	1449
468	21251	1404
469	21294	1359
470	21338	1313
471	21383	1268
472	21428	1223
473	21478	1178
474	21520	1132
475	21573	1087
476	21618	1042
477	21662	997
478	21706	951
479	21750	906
480	21793	860
481	21835	815
482	21879	770
483	21921	724
484	21964	679
485	22010	634
486	22053	588
487	22098	543
488	22144	498
489	22191	452
490	22235	407
491	22293	362
492	22342	317
493	22386	271
494	22433	226
495	22480	181
496	22523	135
497	22568	90
498	22613	45
499	22660	0
