iter	RMSE
0	0.3927405944
1	0.3809596489
2	0.370508696
3	0.3602487412
4	0.3500162465
5	0.3405054919
6	0.332302821
7	0.3233058094
8	0.3160829163
9	0.3090815919
10	0.3017389994
11	0.2942899046
12	0.287254159
13	0.281313154
14	0.2747076001
15	0.2693000766
16	0.2633619823
17	0.2574768362
18	0.2521491241
19	0.2468593292
20	0.2419781967
21	0.2372927815
22	0.2335085181
23	0.2291448256
24	0.2249616154
25	0.2215441207
26	0.2179349528
27	0.2142689555
28	0.2110789404
29	0.2077394989
30	0.2041444365
31	0.2010370998
32	0.1984203468
33	0.1953485193
34	0.1923973225
35	0.1900054432
36	0.1875389386
37	0.1850926181
38	0.1830271922
39	0.1808220683
40	0.1785526706
41	0.1765425539
42	0.1744306439
43	0.1723940796
44	0.170875399
45	0.1696743004
46	0.1678638665
47	0.1663048598
48	0.1648030157
49	0.1632077974
50	0.1618543414
51	0.1607091884
52	0.1591930366
53	0.1581523916
54	0.1569152594
55	0.1555412463
56	0.1541405177
57	0.1529822088
58	0.1519806077
59	0.151022158
60	0.1500651821
61	0.1491097661
62	0.148140461
63	0.1472981997
64	0.1464112872
65	0.1456187205
66	0.1446288431
67	0.1435523872
68	0.142725636
69	0.1419875422
70	0.141043466
71	0.1403029947
72	0.1394483359
73	0.1388015492
74	0.1381318462
75	0.1374722863
76	0.1366125257
77	0.1359268309
78	0.1353524448
79	0.1346716806
80	0.1340848036
81	0.1334993833
82	0.1330895465
83	0.1325797532
84	0.1319386387
85	0.131455348
86	0.1308715442
87	0.130403066
88	0.1299541607
89	0.1294413258
90	0.1289712246
91	0.128417203
92	0.1280194407
93	0.127662522
94	0.127139515
95	0.1267977825
96	0.1264601828
97	0.1260176736
98	0.1257394995
99	0.1253505561
100	0.1250844883
101	0.1246209569
102	0.1242372392
103	0.1238756473
104	0.12353928
105	0.1230271387
106	0.1225718213
107	0.1221037095
108	0.1217050672
109	0.1214758138
110	0.1210368038
111	0.1207216866
112	0.1203184183
113	0.1201405867
114	0.1197285168
115	0.1193974898
116	0.119042435
117	0.1187051729
118	0.1183628088
119	0.1180384928
120	0.1176943554
121	0.11744143
122	0.1172457176
123	0.1169375023
124	0.1167202849
125	0.1163601855
126	0.1160434769
127	0.1157671359
128	0.115568319
129	0.1153419134
130	0.1151664007
131	0.1148916652
132	0.1148013283
133	0.1146644864
134	0.1144298251
135	0.1141562616
136	0.1139555855
137	0.113581535
138	0.1133586302
139	0.1131873852
140	0.1128768065
141	0.1127087201
142	0.1125456472
143	0.1122615896
144	0.1120104703
145	0.1117290072
146	0.1115220405
147	0.1112610644
148	0.110917711
149	0.1105176017
150	0.1103539733
151	0.1101229808
152	0.1098511748
153	0.1097053888
154	0.109363285
155	0.1090571923
